item_id	tag
10720	[4483]
10721	[4483, 4537, 447913, 650659, 1229821]
10722	[4537, 581514]
10723	[]
10724	[4483, 4537]
10725	[]
10726	[4537, 529295]
10727	[]
10728	[4483, 4537, 95987]
10729	[447913]
10730	[4483, 4536]
10731	[4483, 4537, 581514]
10732	[]
10733	[]
10734	[4537]
10735	[]
10736	[4537]
10737	[]
10738	[4483]
10739	[]
10740	[4457, 1229820]
10741	[]
10742	[4483, 4537]
10743	[4537, 4538, 5065, 581514]
10744	[4483, 4537, 4538, 1084835]
10745	[]
10746	[4536, 4537]
10747	[]
10748	[4483]
10749	[4537]
10750	[4483, 4537, 106546, 447913, 529295, 1070524, 1229820]
10751	[4483, 1085065]
10752	[4537, 4538]
10753	[1070524]
10754	[4537]
10755	[]
10756	[4483, 4537, 529295, 1070524]
10757	[4483, 4538]
10758	[4483, 4536, 4537, 106546, 447913, 650659]
10759	[4483, 4537]
10760	[4537]
10761	[4483, 4537, 106546, 127175]
10762	[4537, 95987]
10763	[4538]
10764	[4537, 4538, 447913, 1229820]
10765	[4537]
10766	[4483, 4537, 95987]
10767	[4483, 4537]
10768	[]
10769	[4483, 4537, 4538]
10770	[4483]
10771	[4457, 4537, 106546]
10772	[4537, 127175, 650659, 1071165]
10773	[]
10774	[]
10775	[127175, 650659, 1229817]
10776	[106546, 529295]
10777	[4537, 529295, 1229821]
10778	[4538]
10779	[4537, 1070524]
10780	[]
10781	[4537, 95987]
10782	[4483, 106546]
10783	[4537]
10784	[4483, 4537, 106546, 650659]
10785	[4483, 581514]
10786	[4483]
10787	[127175, 529295, 1229819]
10788	[4483]
10789	[4537, 95987, 106546]
10790	[4483]
10791	[4483]
10792	[4537, 4538, 581514]
10793	[127175, 529295]
10794	[4483, 4537]
10795	[4483, 4537]
10796	[4483, 4537, 5065]
10797	[4537, 529295, 1229821]
10798	[4537]
10799	[4483, 4537, 4538, 95987, 106546, 522484]
10800	[4457, 106546, 127175]
10801	[529295]
10802	[]
10803	[4483, 106546, 529295, 1085065]
10804	[]
10805	[]
10806	[]
10807	[4483, 4538]
10808	[]
10809	[4483, 4537, 106546, 447913, 650659, 1229817]
10810	[4483, 4537, 1070524]
10811	[4483, 4537, 447913, 650659, 1229817]
10812	[4483, 4537, 4538, 5065]
10813	[106546, 529295, 1229821]
10814	[4483, 4537]
10815	[4483, 4537, 529295]
10816	[95987, 106546, 522484]
10817	[4537]
10818	[106546, 447913, 1070524, 1229821]
10819	[4483, 4538, 529295, 1229821]
10820	[4483]
10821	[4483, 4537]
10822	[4483, 650659]
10823	[4483, 4537]
10824	[4483, 4537]
10825	[4483, 4536, 5065]
10826	[4483, 95987, 106546, 127175, 447913, 581514, 650659]
10827	[4537, 1085065]
10828	[4483, 4538, 447913, 522484, 1070524, 1085065]
10829	[4483, 4537, 106546]
10830	[4483]
10831	[4537]
10832	[4537, 4538, 95987]
10833	[4483, 1229821]
10834	[4483, 95987, 1071165]
10835	[4483, 127175, 529295, 1229819]
10836	[4483, 4537, 95987, 447913]
10837	[4483, 4537, 106546, 529295, 1085065]
10838	[4483]
10839	[4538]
10840	[4483, 4537]
10841	[4483, 4536]
10842	[4537, 106546, 447913, 522484, 650659, 1071165, 1229817]
10843	[4538]
10844	[4483, 4537, 127175, 529295, 1085065]
10845	[4483, 4537]
10846	[]
10847	[4483]
10848	[4483, 4537, 650659, 1070524]
10849	[]
10850	[4483, 4537]
10851	[]
10852	[]
10853	[4483, 4537, 127175]
10854	[4538, 581514]
10855	[]
10856	[4483, 4537]
10857	[]
10858	[447913]
10859	[4483, 4537, 106546, 1070524]
10860	[4537, 529295]
10861	[4537, 4538]
10862	[4483]
10863	[4537, 95987, 447913, 650659, 1229817]
10864	[4537]
10865	[4537]
10866	[4483, 4537, 4538, 1070524]
10867	[4538]
10868	[4483, 4537, 1229821]
10869	[4483, 4537]
10870	[4537]
10871	[4538]
10872	[522484]
10873	[4483, 4537, 127175]
10874	[]
10875	[4483]
10876	[1071165]
10877	[]
10878	[4537, 447913]
10879	[4536, 4537, 4538, 529295]
10880	[4483, 4537, 4538]
10881	[4537, 106546, 447913, 650659, 1070524]
10882	[4483, 4537]
10883	[4483, 4537]
10884	[]
10885	[4537, 529295]
10886	[4483, 127175, 447913, 529295, 650659]
10887	[4537]
10888	[4483, 4536, 95987, 447913]
10889	[4537, 1070524]
10890	[]
10891	[4483, 4538, 127175, 529295]
10892	[]
10893	[4537]
10894	[1070524]
10895	[4483, 106546, 1070524]
10896	[5065, 529295]
10897	[]
10898	[]
10899	[4537]
10900	[4483, 4537]
10901	[4483, 95987, 447913]
10902	[4483, 4537, 581514]
10903	[]
10904	[4483, 4537, 4538, 5065]
10905	[4483, 4537]
10906	[4537, 650659, 1070524]
10907	[4483, 4538]
10908	[4537]
10909	[4483, 4537, 5065, 95987, 650659, 1085065]
10910	[4483, 4537, 1070524]
10911	[]
10912	[4483, 4537]
10913	[4483, 95987, 106546]
10914	[]
10915	[]
10916	[4483, 4537]
10917	[4483, 4537, 106546, 127175, 522484, 1070524]
10918	[4537]
10919	[]
10920	[]
10921	[1229821]
10922	[4536, 127175]
10923	[4483]
10924	[]
10925	[4483, 4537, 447913]
10926	[4537, 5065, 1070524]
10927	[4537]
10928	[4483, 4537]
10929	[4537]
10930	[529295]
10931	[4483, 4537]
10932	[4483, 4538, 106546]
10933	[4537]
10934	[4483, 4537]
10935	[]
10936	[4483, 4537, 522484]
10937	[4537, 4538]
10938	[4483]
10939	[4538, 5065]
10940	[650659, 1070524]
10941	[4483]
10942	[]
10943	[4537, 447913, 650659]
10944	[4537, 95987]
10945	[4483, 4537, 5065]
10946	[4483]
10947	[4483, 4537]
10948	[4538]
10949	[4483, 581514]
10950	[4483, 4537, 1070524]
10951	[4537, 529295, 1085065]
10952	[]
10953	[4457, 4483, 106546, 447913, 581514, 1070524, 1229821]
10954	[4483]
10955	[4483, 4537]
10956	[127175, 447913]
10957	[4483, 4537, 106546, 1070524, 1225174]
10958	[]
10959	[]
10960	[4483, 4537, 1070524]
10961	[4483, 4537, 650659, 1071165]
10962	[127175]
10963	[4537]
10964	[95987, 106546, 522484, 581514]
10965	[4537, 4538, 447913, 529295, 1229817]
10966	[4483, 4537, 1070524]
10967	[4483, 4537, 4538, 127175]
10968	[4483, 4537, 106546, 1070524]
10969	[4483, 5065]
10970	[]
10971	[]
10972	[4457, 4483, 106546, 447913, 1070524, 1085065, 1229821]
10973	[]
10974	[4537]
10975	[1070524]
10976	[4538]
10977	[4537]
10978	[4537, 106546, 581514, 650659, 1070524]
10979	[4537, 106546, 127175, 447913, 650659, 1085065]
10980	[5065]
10981	[4483, 4537, 4538]
10982	[4483]
10983	[1229821]
10984	[4483]
10985	[]
10986	[4483, 4537, 1229821]
10987	[4537]
10988	[127175, 529295, 581514, 1070524, 1085065]
10989	[4457, 95987, 106546, 1229821]
10990	[4537, 1229817]
10991	[4483, 4537, 447913, 650659]
10992	[4483, 4537]
10993	[4483, 4537, 62056, 95987, 106546, 127175, 522484, 529295]
10994	[4483, 4537, 106546, 447913, 1070524, 1225174, 1229817]
10995	[4537, 650659, 1070524]
10996	[4483, 4537, 1229821]
10997	[4483, 127175, 522484, 1229821]
10998	[]
10999	[4483]
11000	[]
11001	[5065]
11002	[4537, 650659, 1070524]
11003	[5065]
11004	[4483, 4536]
11005	[]
11006	[4483, 4536, 1070524, 1229817, 1229821]
11007	[4483]
11008	[]
11009	[4538]
11010	[]
11011	[4483]
11012	[4483]
11013	[4537, 447913, 529295, 1070524, 1085065]
11014	[4483, 1229821]
11015	[4483, 4536, 4537, 106546, 1070524]
11016	[4537]
11017	[]
11018	[4483, 1229821]
11019	[4538, 581514, 650659, 1070524]
11020	[4483]
11021	[4483, 4538]
11022	[]
11023	[]
11024	[4483]
11025	[4483, 529295, 1229821]
11026	[4537]
11027	[4537]
11028	[4483, 4537, 95987, 581514]
11029	[4483, 4537]
11030	[4483, 529295]
11031	[581514]
11032	[]
11033	[95987, 650659, 1071165, 1229817]
11034	[4537, 529295, 1229821]
11035	[4483, 4537]
11036	[4483, 4537, 4538]
11037	[4537]
11038	[4483, 4537]
11039	[4483, 4537]
11040	[4538]
11041	[4536, 1070524, 1229821]
11042	[4537, 4538]
11043	[4483, 4538, 1070524, 1071165]
11044	[]
11045	[4483, 4537, 95987, 447913]
11046	[4483, 127175, 581514, 650659, 1225174]
11047	[4537]
11048	[4537, 95987, 106546, 127175, 522484]
11049	[]
11050	[4483]
11051	[4483, 4537, 106546]
11052	[529295]
11053	[]
11054	[4483, 4537]
11055	[]
11056	[4483, 4537]
11057	[]
11058	[95987, 106546, 127175, 522484, 529295, 581514, 650659, 1085065, 1229820]
11059	[]
11060	[4537, 4538, 127175, 447913, 522484, 529295, 1070524]
11061	[4483, 4537, 4538, 1070524]
11062	[4483, 4538]
11063	[4537]
11064	[4537]
11065	[4537, 95987, 1070524]
11066	[4483, 581514, 650659]
11067	[4537]
11068	[4537]
11069	[4483, 4537, 106546, 1229821]
11070	[]
11071	[4537, 5065]
11072	[4538, 106546, 1229821]
11073	[4483, 4537]
11074	[4483, 106546, 447913, 1070524]
11075	[529295]
11076	[4483, 4538, 447913, 522484, 1085065, 1229821]
11077	[4483, 106546, 447913, 529295]
11078	[4483, 4537, 106546, 650659]
11079	[4483, 4537, 127175, 650659]
11080	[4483]
11081	[]
11082	[4483, 4538]
11083	[4483, 4537]
11084	[4483, 127175]
11085	[4483, 4537, 1070524, 1229817]
11086	[4537, 106546, 127175, 650659, 1070524]
11087	[]
11088	[4483]
11089	[4537]
11090	[4483, 4537]
11091	[4536, 4537, 95987, 127175, 447913, 529295, 1070524]
11092	[106546, 447913, 1070524]
11093	[]
11094	[4483, 4537]
11095	[4483, 4537, 4538]
11096	[4483]
11097	[106546, 447913, 529295, 650659]
11098	[4483]
11099	[4537, 1070524]
11100	[4483, 106546, 447913, 1070524]
11101	[]
11102	[4483, 4536, 4537]
11103	[4483, 4536, 4537]
11104	[4538, 127175, 1229817]
11105	[4537, 581514]
11106	[4483]
11107	[4537, 529295, 1070524]
11108	[4483, 4538]
11109	[]
11110	[4537, 1229821]
11111	[4483]
11112	[4483, 4537]
11113	[4537, 529295]
11114	[4483, 650659]
11115	[4537, 447913]
11116	[4483, 4537, 4538]
11117	[4483, 106546, 127175, 1070524]
11118	[4536, 4537]
11119	[106546, 1070524]
11120	[4483, 4537, 447913]
11121	[447913]
11122	[1070524]
11123	[]
11124	[4457, 4483, 4537, 1070524]
11125	[4537]
11126	[4537, 4538, 650659]
11127	[]
11128	[4537]
11129	[4483]
11130	[4483, 4537]
11131	[4537]
11132	[4537, 4538]
11133	[4483, 4537, 4538]
11134	[]
11135	[4537, 95987, 581514]
11136	[4483, 4537, 1070524]
11137	[4483]
11138	[4538]
11139	[]
11140	[4537, 522484]
11141	[4537, 95987]
11142	[]
11143	[4457, 4537]
11144	[4483]
11145	[]
11146	[4537, 4538, 529295]
11147	[529295]
11148	[4537, 447913]
11149	[4483, 4537]
11150	[4483, 4537]
11151	[4483, 4537, 106546, 127175, 522484, 1070524]
11152	[4483, 4537, 127175, 529295, 1229819]
11153	[4483]
11154	[4537, 4538, 650659]
11155	[4483]
11156	[4537, 1071165]
11157	[4483, 4537, 106546, 1070524, 1225174]
11158	[4538, 106546, 127175, 529295]
11159	[4483, 4537]
11160	[4538]
11161	[4457, 4483, 4537, 581514, 650659]
11162	[]
11163	[4537]
11164	[4483, 4537, 1229821, 1229823]
11165	[4483]
11166	[4537]
11167	[4483]
11168	[4483]
11169	[4483, 4537, 447913, 1070524]
11170	[4483, 4537, 447913]
11171	[4483, 4537]
11172	[]
11173	[4537]
11174	[4483, 4537, 106546]
11175	[4483, 4536, 4537]
11176	[4537, 95987]
11177	[4483]
11178	[4483, 4537]
11179	[4537, 447913]
11180	[4483, 4537, 529295, 1229821]
11181	[4483, 4538]
11182	[4483, 4537, 106546, 447913]
11183	[4537, 127175]
11184	[]
11185	[4483, 4537, 4538, 447913, 650659]
11186	[]
11187	[4483, 4537]
11188	[1085065]
11189	[4536, 4537]
11190	[4537, 529295]
11191	[4483, 4537, 4538]
11192	[106546, 1070524]
11193	[4483]
11194	[4483, 1070524]
11195	[4483, 4537, 4538, 5065, 1225174]
11196	[4483, 4538]
11197	[]
11198	[]
11199	[4483, 4537]
11200	[4537, 1070524]
11201	[4537, 95987, 529295, 650659, 1071165]
11202	[4483, 4537, 4538, 529295]
11203	[4483, 106546, 1070524]
11204	[4483, 4537]
11205	[4537]
11206	[]
11207	[4537, 127175]
11208	[4483]
11209	[]
11210	[4483, 4537, 95987, 522484]
11211	[4537]
11212	[4483]
11213	[4483, 5065]
11214	[4483, 4537, 5065]
11215	[4483, 4537, 127175, 447913, 529295, 1229817]
11216	[4537]
11217	[]
11218	[4483, 4537]
11219	[95987, 581514, 1070524]
11220	[4483, 4537, 106546, 650659, 1070524]
11221	[]
11222	[4483, 4537, 127175, 447913, 581514, 650659, 1070524]
11223	[4537, 127175, 1084835]
11224	[]
11225	[4483, 1229821]
11226	[4537, 95987, 1225174]
11227	[1229820]
11228	[4483, 4537, 4538]
11229	[4483, 4537]
11230	[4538, 127175, 447913]
11231	[4537, 447913, 650659]
11232	[]
11233	[650659]
11234	[4483]
11235	[]
11236	[4537, 4538, 650659]
11237	[]
11238	[4538]
11239	[4483, 4537, 95987]
11240	[581514]
11241	[4483, 447913, 529295]
11242	[4537, 95987, 650659, 1071165]
11243	[4483, 4537]
11244	[4537]
11245	[4483, 529295]
11246	[4537]
11247	[4483, 5065]
11248	[4483, 127175]
11249	[4483, 106546, 127175, 522484]
11250	[4483, 4537, 4538]
11251	[127175, 581514, 1229817]
11252	[4537, 95987, 650659, 1071165]
11253	[]
11254	[4483, 4537]
11255	[4483]
11256	[4537]
11257	[4483, 4537, 106546, 1070524, 1225174]
11258	[4483]
11259	[]
11260	[4538]
11261	[]
11262	[4537, 1229817]
11263	[4483]
11264	[4537]
11265	[]
11266	[447913]
11267	[4483, 529295, 1070524, 1085065]
11268	[]
11269	[4483, 4537]
11270	[]
11271	[]
11272	[4537, 4538, 106546, 529295, 650659, 1070524]
11273	[4537, 127175]
11274	[]
11275	[4483, 4537, 447913, 1070524, 1229821]
11276	[127175]
11277	[]
11278	[4537]
11279	[4537, 5065, 127175]
11280	[4483, 4537]
11281	[4537]
11282	[4483, 4537]
11283	[4537, 447913]
11284	[4537, 95987]
11285	[4483, 4537]
11286	[4457, 4537]
11287	[5065]
11288	[4483]
11289	[4483, 4537]
11290	[4537]
11291	[4537]
11292	[4483]
11293	[]
11294	[4483, 4537]
11295	[4537, 650659, 1084835]
11296	[4537]
11297	[4483, 4538]
11298	[4537, 106546, 127175, 650659, 1070524]
11299	[4483, 4537]
11300	[4483]
11301	[4538, 106546, 650659, 1229821]
11302	[4483, 4537, 650659]
11303	[4537, 650659, 1070524]
11304	[1229821]
11305	[4483]
11306	[4483, 4537, 106546, 127175, 650659, 1070524]
11307	[4537, 4538, 95987, 529295, 1084835, 1085065]
11308	[]
11309	[4537]
11310	[4483, 4537, 106546]
11311	[4483, 581514]
11312	[]
11313	[4483, 4537, 4538, 127175]
11314	[]
11315	[4483, 4537, 106546, 127175, 1070524, 1225174]
11316	[4483, 1070524]
11317	[4483]
11318	[4537]
11319	[4537]
11320	[4538, 5065, 106546]
11321	[]
11322	[]
11323	[4537]
11324	[4537, 106546, 127175, 650659, 1070524]
11325	[529295]
11326	[4483]
11327	[4537, 1229821]
11328	[4483, 4537, 106546, 127175, 1070524]
11329	[4483, 4537]
11330	[1070524]
11331	[4537]
11332	[]
11333	[4483, 5065]
11334	[4537, 581514]
11335	[4483]
11336	[4483, 4537, 5065, 95987, 1229825]
11337	[]
11338	[]
11339	[4537]
11340	[4537]
11341	[4537, 106546, 127175, 650659, 1070524, 1225174]
11342	[4483]
11343	[5065]
11344	[4537, 127175]
11345	[4537, 1070524]
11346	[4483, 4537, 95987, 106546, 127175, 522484]
11347	[4483, 4538, 650659]
11348	[4483]
11349	[1070524]
11350	[4537]
11351	[4483, 4538]
11352	[4537]
11353	[4537, 4538, 95987]
11354	[95987, 106546, 127175, 522484, 529295, 1071165, 1229819]
11355	[4483]
11356	[4537, 1070524]
11357	[]
11358	[4483, 4537]
11359	[529295]
11360	[4483, 4537]
11361	[4457, 4537, 106546, 127175, 447913, 1070524, 1085065]
11362	[4483]
11363	[]
11364	[4483, 4537, 1229821]
11365	[]
11366	[]
11367	[62056, 127175, 447913, 529295]
11368	[4537]
11369	[4537, 1070524]
11370	[4537, 4538, 447913, 650659, 1070524, 1084835]
11371	[4537]
11372	[]
11373	[4483]
11374	[4483]
11375	[4537, 127175, 650659, 1071165]
11376	[4537]
11377	[4483, 4537, 529295, 1070524]
11378	[]
11379	[4537]
11380	[4537]
11381	[4483]
11382	[4537]
11383	[]
11384	[4483]
11385	[4483]
11386	[4483]
11387	[5065]
11388	[581514, 1070524]
11389	[4483, 4537]
11390	[4537, 106546, 127175, 522484, 1070524]
11391	[4538, 95987, 106546, 522484, 529295, 650659, 1070524, 1085065, 1225174, 1229819, 1229820, 1229821]
11392	[4537, 650659, 1070524]
11393	[]
11394	[447913]
11395	[4537, 1229821]
11396	[4483, 4537]
11397	[4483, 4537]
11398	[4483, 1070524]
11399	[4483, 4538, 106546, 650659, 1229821]
11400	[4483, 4537, 650659, 1070524]
11401	[106546, 650659, 1229821]
11402	[4537]
11403	[4483]
11404	[4483, 4537]
11405	[]
11406	[4483, 5065]
11407	[]
11408	[4483, 106546, 447913, 1070524, 1229821]
11409	[4537, 106546]
11410	[4483, 4537]
11411	[4483]
11412	[]
11413	[4536, 4537, 529295]
11414	[5065]
11415	[581514]
11416	[4537, 447913, 1070524]
11417	[4483, 4537]
11418	[4537]
11419	[4483]
11420	[4483, 4537, 4538]
11421	[4537, 1070524]
11422	[4483, 4537]
11423	[4538, 5065]
11424	[4483, 4538]
11425	[4537, 106546, 529295]
11426	[4483]
11427	[4483]
11428	[4483, 529295]
11429	[4483]
11430	[4483, 4537, 4538]
11431	[1229821]
11432	[4483, 95987]
11433	[4537, 4538]
11434	[4483, 4537]
11435	[4537, 106546, 1070524, 1225174]
11436	[4537, 447913, 650659, 1229817]
11437	[4537]
11438	[4457, 4483, 4537, 447913, 529295, 581514, 1070524, 1229817]
11439	[4537, 4538]
11440	[]
11441	[4537]
11442	[4483, 4537, 106546, 1070524]
11443	[4483, 4537]
11444	[]
11445	[1229821]
11446	[]
11447	[4537]
11448	[4483, 4537, 4538, 1229821]
11449	[4483, 4537]
11450	[4483, 4537, 95987, 127175]
11451	[]
11452	[4483, 4537]
11453	[]
11454	[]
11455	[]
11456	[4483, 4537]
11457	[4537, 4538]
11458	[4537]
11459	[4537, 1070524]
11460	[4483, 4537]
11461	[4483, 4537, 106546, 529295]
11462	[4483, 581514]
11463	[4538, 106546, 127175]
11464	[4483, 127175, 447913, 650659]
11465	[4537]
11466	[4536, 1070524]
11467	[1070524]
11468	[]
11469	[4537, 95987]
11470	[]
11471	[4483, 4537, 4538]
11472	[4483, 4536, 4537, 106546]
11473	[4538]
11474	[4537]
11475	[4483]
11476	[4537, 1085065]
11477	[4483, 4537, 650659]
11478	[4483, 4537]
11479	[4457, 4537, 106546, 127175, 447913, 1070524]
11480	[4483, 1229821]
11481	[4483, 1070524]
11482	[4483, 4537, 4538]
11483	[4483, 4537, 106546, 127175, 447913, 581514, 1070524]
11484	[4457, 4537, 106546, 127175, 447913, 650659, 1070524, 1085065]
11485	[4536, 4537, 447913, 529295, 650659, 1070524, 1225174, 1229817]
11486	[4537]
11487	[4537]
11488	[106546]
11489	[4483, 4537]
11490	[4537, 95987, 127175, 529295, 648819, 650659]
11491	[4537, 447913]
11492	[]
11493	[4537, 4538, 650659, 1070524]
11494	[529295]
11495	[4483, 4537, 522484]
11496	[4537]
11497	[4483]
11498	[]
11499	[4538]
11500	[4536]
11501	[]
11502	[]
11503	[4537]
11504	[]
11505	[4483, 4537, 1070524]
11506	[]
11507	[4537, 1085065]
11508	[4537, 4538, 106546, 1070524]
11509	[4537]
11510	[4483, 447913, 529295, 1070524, 1085065]
11511	[]
11512	[4483, 1070524]
11513	[4483, 4537, 447913, 1070524]
11514	[4483]
11515	[4483]
11516	[]
11517	[4483, 4537, 447913, 650659, 1229817]
11518	[4537]
11519	[4483, 650659]
11520	[4483, 4538]
11521	[]
11522	[127175]
11523	[]
11524	[4483, 4537]
11525	[4537, 581514]
11526	[]
11527	[4483, 581514]
11528	[4483]
11529	[4537]
11530	[4483, 4537]
11531	[4537, 95987, 650659, 1071165]
11532	[4483, 4537, 5065, 1070524]
11533	[4483, 4537, 95987]
11534	[4483, 4537]
11535	[4537, 4538]
11536	[4483, 4537]
11537	[650659, 1070524, 1071165]
11538	[1229819]
11539	[4483]
11540	[4483, 4537, 106546, 447913]
11541	[4483, 4536, 4537, 529295]
11542	[4483, 4537]
11543	[62056, 106546, 127175, 522484]
11544	[4537, 4538]
11545	[4483, 4537]
11546	[4483]
11547	[4483, 4538, 1070524, 1229821]
11548	[4483, 4537, 1070524]
11549	[4537, 1085065]
11550	[4537]
11551	[4537]
11552	[4483, 581514]
11553	[4483, 447913]
11554	[]
11555	[]
11556	[4537]
11557	[4537, 5065]
11558	[4483, 4537]
11559	[4483, 1229821]
11560	[]
11561	[4537]
11562	[4483]
11563	[95987, 106546, 529295, 1229817]
11564	[650659]
11565	[4483, 4537]
11566	[4537]
11567	[4537]
11568	[4483, 4537]
11569	[]
11570	[4483, 4537, 5065]
11571	[4536, 95987, 529295, 1071165]
11572	[4483, 4537, 4538]
11573	[4483, 4537, 95987, 447913]
11574	[4537, 4538, 447913, 529295]
11575	[4483]
11576	[4483, 4537, 127175]
11577	[4483, 4537]
11578	[4483, 4537, 106546, 447913, 529295]
11579	[1225174]
11580	[5065, 1229821]
11581	[4483]
11582	[]
11583	[4483, 1229821]
11584	[4483]
11585	[4457, 4537, 529295]
11586	[4483, 4537, 1070524]
11587	[4537, 4538]
11588	[]
11589	[4483, 1070524]
11590	[4538]
11591	[]
11592	[]
11593	[4537]
11594	[4537]
11595	[4483, 4537, 4538]
11596	[4538, 447913, 1085065]
11597	[4537, 95987, 106546, 581514, 1070524]
11598	[4483, 1229821]
11599	[4483, 4537, 106546, 650659, 1085065]
11600	[4537, 106546, 127175]
11601	[]
11602	[4483, 447913, 1229817]
11603	[]
11604	[4483]
11605	[4483, 4537, 106546]
11606	[4457, 4537, 106546, 447913, 650659, 1070524]
11607	[4537]
11608	[4483, 4537, 106546, 447913, 1070524, 1229821]
11609	[4483, 1229821]
11610	[127175, 447913, 1229817, 1229821]
11611	[127175]
11612	[4537]
11613	[]
11614	[4537, 447913]
11615	[4483, 4537, 127175, 1070524]
11616	[4537]
11617	[4537]
11618	[]
11619	[4537]
11620	[4483, 581514]
11621	[4538]
11622	[4537, 650659, 1070524]
11623	[4483, 127175, 447913, 650659, 1070524]
11624	[4483, 4537, 529295, 650659, 1070524]
11625	[]
11626	[4537]
11627	[106546, 522484, 529295, 650659, 1071165, 1229817]
11628	[4483, 4537]
11629	[]
11630	[]
11631	[4483, 4537]
11632	[4537, 1070524]
11633	[4483]
11634	[4457, 4483, 4537, 106546, 1070524, 1085065]
11635	[4457, 4483, 4537, 106546]
11636	[4537, 4538, 650659]
11637	[4483, 4537, 447913]
11638	[447913, 529295]
11639	[4537, 447913]
11640	[]
11641	[4537, 5065]
11642	[1070524]
11643	[4538, 447913]
11644	[4536, 4537]
11645	[4483, 4538]
11646	[4483, 4538, 106546, 529295, 1085065, 1229821]
11647	[4483, 4537]
11648	[4537]
11649	[4483, 529295]
11650	[]
11651	[4537]
11652	[4483, 4537, 1070524]
11653	[4537]
11654	[4537, 127175]
11655	[4483, 4537, 4538]
11656	[4537]
11657	[]
11658	[106546]
11659	[4457, 529295]
11660	[95987]
11661	[5065, 447913]
11662	[1071165, 1229817, 1229819, 1229821]
11663	[4483, 4538]
11664	[4537]
11665	[]
11666	[4537]
11667	[]
11668	[]
11669	[4483, 127175, 1229819]
11670	[]
11671	[4483, 4537]
11672	[4483, 4537, 4538, 1070524]
11673	[4537]
11674	[4537]
11675	[]
11676	[4483, 4537]
11677	[95987, 106546, 127175, 447913, 529295, 1229817]
11678	[]
11679	[4537, 4538, 529295, 581514]
11680	[4483, 4537]
11681	[]
11682	[4483, 4537, 447913, 650659, 1229817]
11683	[4483, 4537, 4538]
11684	[4483]
11685	[4483, 4537, 4538]
11686	[]
11687	[4483, 4537, 106546, 127175, 1070524, 1229817]
